Year,Distance,Engine_capacity(cm3),Age,km_year
2001,357000.0,1299.0,21,17000.0
2008,287000.0,2500.0,14,20500.0
2007,91000.0,1400.0,15,6066.666666666667
2018,33000.0,1800.0,4,8250.0
2005,222222.0,1900.0,17,13071.882352941177
2007,165000.0,1600.0,15,11000.0
2005,240000.0,1400.0,17,14117.64705882353
2005,200000.0,1200.0,17,11764.70588235294
2006,390000.0,3200.0,16,24375.0
2012,210000.0,1998.0,10,21000.0
2004,132000.0,1500.0,18,7333.333333333333
2000,215000.0,1900.0,22,9772.727272727272
2003,400000.0,2000.0,19,21052.63157894737
2001,235000.0,2000.0,21,11190.47619047619
2004,224000.0,1400.0,18,12444.444444444443
2007,350000.0,1800.0,15,23333.33333333333
2004,2899.0,2500.0,18,161.05555555555554
2014,200000.0,1800.0,8,25000.0
2003,251000.0,1400.0,19,13210.526315789471
2019,23800.0,1600.0,3,7933.333333333333
2009,123000.0,2500.0,13,9461.53846153846
2013,210000.0,1500.0,9,23333.33333333333
2019,13300.0,999.0,3,4433.333333333333
2017,200000.0,1998.0,5,40000.0
2007,175000.0,1800.0,15,11666.666666666666
2006,2440.0,1500.0,16,152.5
2016,144249.0,1500.0,6,24041.5
2012,156000.0,1400.0,10,15600.0
1996,123456.0,2500.0,26,4748.307692307692
2004,227854.0,3000.0,18,12658.555555555557
2006,267000.0,2200.0,16,16687.5
2002,240471.0,1000.0,20,12023.55
1981,11111.0,1600.0,41,271.0
2009,190000.0,3000.0,13,14615.384615384615
2007,185000.0,1900.0,15,12333.333333333334
2017,45000.0,1600.0,5,9000.0
2015,166456.0,2967.0,7,23779.42857142857
2011,245000.0,3000.0,11,22272.727272727272
2013,135000.0,1600.0,9,15000.0
2011,160000.0,1300.0,11,14545.454545454546
2014,176185.0,1364.0,8,22023.125
2011,192000.0,1400.0,11,17454.545454545456
2019,55890.0,1500.0,3,18630.0
2011,150000.0,800.0,11,13636.363636363636
2016,110000.0,3000.0,6,18333.33333333333
2013,114000.0,1400.0,9,12666.666666666666
2013,170000.0,900.0,9,18888.88888888889
2013,114000.0,1400.0,9,12666.666666666666
2005,217000.0,1986.0,17,12764.70588235294
2017,55000.0,1600.0,5,11000.0
2017,155100.0,1500.0,5,31020.0
1996,35000.0,1800.0,26,1346.1538461538462
2006,125000.0,1500.0,16,7812.5
2008,217000.0,1800.0,14,15500.0
2006,152908.0,1400.0,16,9556.75
2015,170000.0,2000.0,7,24285.714285714286
2017,140000.0,1500.0,5,28000.0
2011,170000.0,1500.0,11,15454.545454545454
2011,180000.0,1200.0,11,16363.636363636364
2009,170000.0,1500.0,13,13076.923076923076
2009,120000.0,2500.0,13,9230.76923076923
2004,325000.0,300.0,18,18055.555555555555
2016,116994.0,2500.0,6,19499.0
2006,95000.0,1600.0,16,5937.5
1998,280121.0,2800.0,24,11671.708333333334
2013,152900.0,2000.0,9,16988.88888888889
2008,185000.0,1500.0,14,13214.285714285714
2005,241000.0,2500.0,17,14176.470588235294
2005,200000.0,1400.0,17,11764.70588235294
2011,187000.0,2200.0,11,17000.0
2017,132000.0,2199.0,5,26400.0
1993,300000.0,1800.0,29,10344.827586206897
2005,290000.0,1900.0,17,17058.823529411766
2012,147000.0,2499.0,10,14700.0
1993,317240.0,2000.0,29,10939.310344827589
2010,177000.0,2000.0,12,14750.0
2003,280000.0,2200.0,19,14736.842105263158
2016,184919.0,1600.0,6,30819.83333333333
2004,228007.0,1200.0,18,12667.055555555557
2013,151638.0,1500.0,9,16848.666666666668
2015,146000.0,1798.0,7,20857.14285714286
2013,104555.0,1395.0,9,11617.222222222224
2008,212000.0,2000.0,14,15142.857142857143
2016,77000.0,1500.0,6,12833.333333333334
1987,300000.0,2000.0,35,8571.42857142857
1992,200000.0,3000.0,30,6666.666666666667
1996,355000.0,2000.0,26,13653.846153846154
2011,199000.0,2200.0,11,18090.90909090909
2015,90000.0,2199.0,7,12857.142857142857
2006,111111.0,2000.0,16,6944.4375
2018,25000.0,2000.0,4,6250.0
2012,200000.0,1500.0,10,20000.0
2016,126000.0,2143.0,6,21000.0
2010,240000.0,2200.0,12,20000.0
1994,272000.0,1600.0,28,9714.285714285714
2010,156000.0,2400.0,12,13000.0
2005,113714.0,2000.0,17,6689.058823529412
2013,215000.0,2500.0,9,23888.88888888889
2004,240152.0,1248.0,18,13341.777777777776
2010,152500.0,2000.0,12,12708.333333333334
2008,172000.0,1600.0,14,12285.714285714286
2009,255000.0,2000.0,13,19615.384615384617
1985,180000.0,1300.0,37,4864.864864864865
1998,150000.0,2874.0,24,6250.0
2012,250000.0,1200.0,10,25000.0
2014,151607.0,1800.0,8,18950.875
2014,212000.0,1600.0,8,26500.0
2011,160735.0,1400.0,11,14612.272727272728
2012,188000.0,1200.0,10,18800.0
2010,250000.0,1500.0,12,20833.33333333333
2002,300000.0,2900.0,20,15000.0
2014,88000.0,1800.0,8,11000.0
2015,175000.0,1500.0,7,25000.0
2018,93000.0,1500.0,4,23250.0
2009,150000.0,200.0,13,11538.46153846154
2009,115000.0,2000.0,13,8846.153846153846
1998,400000.0,2900.0,24,16666.666666666668
2007,380000.0,1800.0,15,25333.33333333333
2014,35000.0,4600.0,8,4375.0
2007,200000.0,2000.0,15,13333.333333333334
2012,256504.0,1800.0,10,25650.4
2000,290000.0,1400.0,22,13181.818181818182
2005,183000.0,1800.0,17,10764.70588235294
2008,250000.0,1500.0,14,17857.14285714286
2005,241000.0,1500.0,17,14176.470588235294
2016,85000.0,2500.0,6,14166.666666666666
2009,239907.0,2400.0,13,18454.384615384617
2009,110200.0,2400.0,13,8476.923076923076
2011,180651.0,2199.0,11,16422.81818181818
2012,226000.0,1300.0,10,22600.0
2011,189000.0,1248.0,11,17181.81818181818
2016,96000.0,1400.0,6,16000.0
2015,115000.0,1500.0,7,16428.571428571428
1993,301300.0,1600.0,29,10389.655172413792
2005,280123.0,2500.0,17,16477.823529411766
2015,157400.0,1500.0,7,22485.714285714286
2007,31500.0,2400.0,15,2100.0
2014,171311.0,2000.0,8,21413.875
2009,170000.0,1600.0,13,13076.923076923076
2017,91000.0,2000.0,5,18200.0
2017,176000.0,1500.0,5,35200.0
2018,65400.0,2000.0,4,16350.0
2011,197000.0,1200.0,11,17909.090909090908
1990,34000.0,1780.0,32,1062.5
2006,59000.0,1600.0,16,3687.5
2016,176000.0,2400.0,6,29333.33333333333
2002,380000.0,2000.0,20,19000.0
2004,177000.0,1400.0,18,9833.333333333334
2015,145000.0,2000.0,7,20714.285714285717
1990,200000.0,1389.0,32,6250.0
1999,320700.0,2500.0,23,13943.478260869566
1995,222222.0,2000.0,27,8230.444444444445
2002,327000.0,2400.0,20,16350.0
2012,172000.0,1500.0,10,17200.0
2012,147000.0,1600.0,10,14700.0
2005,200000.0,1400.0,17,11764.70588235294
2017,80525.0,2000.0,5,16105.0
2017,154000.0,1500.0,5,30800.0
2005,213000.0,1400.0,17,12529.411764705885
2014,230000.0,1598.0,8,28750.0
2009,248000.0,3000.0,13,19076.92307692308
2011,208000.0,1500.0,11,18909.090909090908
2008,213000.0,1600.0,14,15214.285714285714
2015,168000.0,1500.0,7,24000.0
2009,283800.0,2193.0,13,21830.76923076923
2014,151000.0,1461.0,8,18875.0
2015,180000.0,1600.0,7,25714.285714285717
2018,155349.0,1500.0,4,38837.25
2013,154347.0,2000.0,9,17149.666666666668
2004,140000.0,2000.0,18,7777.777777777777
2007,193853.0,1900.0,15,12923.533333333333
2008,259652.0,1400.0,14,18546.571428571428
2007,199000.0,1400.0,15,13266.666666666666
2004,400000.0,2400.0,18,22222.222222222223
2012,249189.0,2000.0,10,24918.9
2014,117000.0,3000.0,8,14625.0
2017,21149.0,1400.0,5,4229.8
2012,115700.0,1400.0,10,11570.0
2016,140466.0,1500.0,6,23411.0
2005,210000.0,1200.0,17,12352.941176470587
1999,200000.0,1348.0,23,8695.652173913044
2016,140000.0,2000.0,6,23333.33333333333
2006,260000.0,2000.0,16,16250.0
2015,199000.0,2000.0,7,28428.571428571428
2002,300000.0,2400.0,20,15000.0
2011,163000.0,1364.0,11,14818.181818181818
2019,6000.0,1498.0,3,2000.0
2018,45701.0,1500.0,4,11425.25
2012,91000.0,1800.0,10,9100.0
1993,420798.0,2500.0,29,14510.275862068966
2012,133000.0,998.0,10,13300.0
2005,2020.0,1500.0,17,118.82352941176472
2000,340522.0,2200.0,22,15478.272727272728
2012,2288.0,1500.0,10,228.8
2004,200000.0,1600.0,18,11111.111111111111
2008,170000.0,2000.0,14,12142.857142857143
2003,320000.0,1900.0,19,16842.105263157893
2012,151040.0,1800.0,10,15104.0
1995,100000.0,1400.0,27,3703.703703703704
2006,180000.0,1300.0,16,11250.0
2008,100819.0,1200.0,14,7201.357142857143
2010,164100.0,1400.0,12,13675.0
2012,144000.0,5000.0,10,14400.0
2006,180000.0,1968.0,16,11250.0
2006,190000.0,1200.0,16,11875.0
2012,158626.0,1400.0,10,15862.6
2020,15000.0,2500.0,2,7500.0
2002,171000.0,1400.0,20,8550.0
2002,65329.0,240.0,20,3266.45
2014,177870.0,2000.0,8,22233.75
2006,272183.0,1390.0,16,17011.4375
2013,208301.0,2200.0,9,23144.555555555555
2013,174000.0,2000.0,9,19333.33333333333
2011,126000.0,1800.0,11,11454.545454545454
2004,270000.0,1799.0,18,15000.0
2012,226000.0,1500.0,10,22600.0
2014,189000.0,1598.0,8,23625.0
2016,139000.0,1500.0,6,23166.666666666668
2008,250000.0,3000.0,14,17857.14285714286
2015,160000.0,2500.0,7,22857.14285714286
2011,190000.0,1800.0,11,17272.727272727272
2005,200000.0,2000.0,17,11764.70588235294
2012,155150.0,1400.0,10,15515.0
1993,245000.0,2000.0,29,8448.275862068966
1997,348000.0,1600.0,25,13920.0
2012,147880.0,1300.0,10,14788.0
1992,450000.0,3200.0,30,15000.0
2007,260000.0,3800.0,15,17333.333333333332
2012,200000.0,1200.0,10,20000.0
2001,395000.0,1782.0,21,18809.52380952381
2006,287292.0,1422.0,16,17955.75
2010,123000.0,2000.0,12,10250.0
2014,165000.0,1598.0,8,20625.0
2010,118000.0,1400.0,12,9833.333333333334
2006,240000.0,3500.0,16,15000.0
2008,225000.0,2000.0,14,16071.42857142857
2009,227000.0,1364.0,13,17461.53846153846
2011,214000.0,2000.0,11,19454.545454545456
2003,224558.0,2200.0,19,11818.842105263158
2012,75000.0,2400.0,10,7500.0
2012,110755.0,1200.0,10,11075.5
2014,89000.0,2200.0,8,11125.0
2011,289340.0,1500.0,11,26303.636363636364
2010,95000.0,1400.0,12,7916.666666666667
2000,232700.0,2171.0,22,10577.272727272728
2005,150000.0,1500.0,17,8823.529411764706
2010,171000.0,1400.0,12,14250.0
2005,246372.0,1500.0,17,14492.470588235294
2016,162772.0,2143.0,6,27128.666666666668
2005,255000.0,1600.0,17,15000.0
2004,350000.0,1500.0,18,19444.444444444445
2017,37000.0,1600.0,5,7400.0
2011,175800.0,1200.0,11,15981.818181818182
2011,456368.0,2000.0,11,41488.0
2002,185000.0,2800.0,20,9250.0
2011,184714.0,1200.0,11,16792.18181818182
2007,140000.0,1600.0,15,9333.333333333334
2017,146000.0,1500.0,5,29200.0
2015,94095.0,1600.0,7,13442.142857142857
2016,188000.0,1499.0,6,31333.33333333333
2016,170000.0,1500.0,6,28333.33333333333
2015,200000.0,1500.0,7,28571.42857142857
2017,75200.0,1500.0,5,15040.0
2001,271358.0,1900.0,21,12921.809523809525
2017,96000.0,1400.0,5,19200.0
2011,155100.0,1400.0,11,14100.0
2019,15100.0,1600.0,3,5033.333333333333
2003,123456.0,2000.0,19,6497.684210526316
2017,152325.0,1500.0,5,30465.0
2013,115000.0,2200.0,9,12777.777777777776
2001,123456.0,1700.0,21,5878.857142857143
2001,206500.0,2000.0,21,9833.333333333334
2002,244000.0,1400.0,20,12200.0
1999,270365.0,2800.0,23,11755.0
2015,197000.0,1500.0,7,28142.85714285714
2008,350553.0,1998.0,14,25039.5
2010,190000.0,1300.0,12,15833.333333333334
2003,270000.0,1900.0,19,14210.526315789471
2005,150000.0,2500.0,17,8823.529411764706
