Year,Distance,Engine_capacity(cm3),Price(euro),Age,km_year
2012,120000.0,2200.0,15999.0,10,12000.0
2010,182000.0,1800.0,11750.0,12,15166.666666666666
2005,300000.0,2000.0,4999.0,17,17647.058823529413
2008,310000.0,1300.0,4850.0,14,22142.85714285714
2014,186000.0,1600.0,12300.0,8,23250.0
2011,150000.0,2000.0,12800.0,11,13636.363636363636
2000,258000.0,2200.0,2999.0,22,11727.272727272728
2016,151000.0,1500.0,13890.0,6,25166.666666666668
2018,46000.0,2000.0,27650.0,4,11500.0
2010,257110.0,1500.0,4999.0,12,21425.833333333332
2016,167000.0,1500.0,12990.0,6,27833.333333333332
2018,114000.0,1800.0,16750.0,4,28500.0
2017,157600.0,1500.0,11990.0,5,31520.0
2014,190000.0,1800.0,8990.0,8,23750.0
2017,119000.0,1800.0,18790.0,5,23800.0
2018,145000.0,1500.0,16790.0,4,36250.0
2016,150200.0,1500.0,13450.0,6,25033.333333333332
2015,149000.0,2500.0,21750.0,7,21285.714285714286
2006,216000.0,2000.0,5350.0,16,13500.0
2016,88000.0,1500.0,15790.0,6,14666.666666666666
2007,320000.0,1600.0,5999.0,15,21333.333333333332
2006,298000.0,1500.0,2999.0,16,18625.0
2017,27138.0,1500.0,13300.0,5,5427.6
2016,140000.0,1500.0,12400.0,6,23333.333333333332
2012,166000.0,1600.0,8990.0,10,16600.0
2009,223000.0,2000.0,8990.0,13,17153.846153846152
2006,198563.0,1400.0,5350.0,16,12410.1875
2000,202698.0,2800.0,3999.0,22,9213.545454545454
2000,230000.0,2000.0,2750.0,22,10454.545454545454
2018,82000.0,2000.0,34000.0,4,20500.0
1995,250369.0,1800.0,2700.0,27,9272.925925925925
2005,250632.0,2000.0,2690.0,17,14743.058823529413
1998,300000.0,1900.0,1450.0,24,12500.0
2012,165500.0,1200.0,5100.0,10,16550.0
2011,248000.0,2000.0,9900.0,11,22545.454545454544
2016,170000.0,1499.0,8890.0,6,28333.333333333332
2008,245000.0,1500.0,3600.0,14,17500.0
1999,290000.0,1500.0,1800.0,23,12608.695652173914
2014,120000.0,200.0,12000.0,8,15000.0
2007,211000.0,1400.0,2900.0,15,14066.666666666666
2012,166700.0,2000.0,10200.0,10,16670.0
2016,145000.0,1400.0,16450.0,6,24166.666666666668
2014,81700.0,1800.0,12450.0,8,10212.5
2013,142865.0,1400.0,8700.0,9,15873.888888888889
2007,135865.0,1400.0,1500.0,15,9057.666666666666
2013,181000.0,1500.0,7000.0,9,20111.11111111111
2014,155000.0,1400.0,9700.0,8,19375.0
2015,164000.0,1600.0,12750.0,7,23428.571428571428
2010,150589.0,1400.0,7999.0,12,12549.083333333334
2015,152523.0,1500.0,9300.0,7,21789.0
2007,190000.0,1300.0,4499.0,15,12666.666666666666
2014,165000.0,2000.0,15600.0,8,20625.0
2006,260000.0,3000.0,11000.0,16,16250.0
2011,182251.0,1798.0,8200.0,11,16568.272727272728
2008,185000.0,1300.0,3600.0,14,13214.285714285714
2012,187000.0,1300.0,4600.0,10,18700.0
2005,190000.0,1500.0,3200.0,17,11176.470588235294
2005,400000.0,2700.0,5500.0,17,23529.41176470588
2010,225550.0,2000.0,9650.0,12,18795.833333333332
2003,220000.0,1400.0,2000.0,19,11578.947368421053
2003,90000.0,1500.0,1000.0,19,4736.8421052631575
2013,165000.0,1500.0,7500.0,9,18333.333333333332
2018,36000.0,1500.0,18499.0,4,9000.0
2015,102000.0,1800.0,12500.0,7,14571.42857142857
2004,2899.0,2500.0,6100.0,18,161.05555555555554
2003,208367.0,2000.0,4600.0,19,10966.684210526315
2011,168000.0,1400.0,7999.0,11,15272.727272727272
2019,2500.0,1800.0,18999.0,3,833.3333333333334
2004,190000.0,1896.0,6300.0,18,10555.555555555555
2011,210000.0,1400.0,6400.0,11,19090.909090909092
2014,160000.0,2000.0,12200.0,8,20000.0
2004,180000.0,1500.0,3300.0,18,10000.0
1984,100000.0,2400.0,1000.0,38,2631.5789473684213
2007,202000.0,2700.0,14600.0,15,13466.666666666666
2017,170000.0,1422.0,8200.0,5,34000.0
2013,198000.0,1400.0,8400.0,9,22000.0
2004,183454.0,1300.0,2500.0,18,10191.888888888889
2013,104000.0,2979.0,30900.0,9,11555.555555555555
2006,119000.0,1600.0,5700.0,16,7437.5
2007,283000.0,1300.0,3499.0,15,18866.666666666668
2017,146000.0,1800.0,11900.0,5,29200.0
2009,202000.0,1990.0,7100.0,13,15538.461538461539
2016,141000.0,1500.0,9000.0,6,23500.0
2013,220000.0,1500.0,5000.0,9,24444.444444444445
2008,232012.0,1500.0,3700.0,14,16572.285714285714
2018,38999.0,2000.0,24800.0,4,9749.75
2014,219000.0,1500.0,10999.0,8,27375.0
2007,300000.0,2200.0,9200.0,15,20000.0
1994,300000.0,200.0,18000.0,28,10714.285714285714
2011,121000.0,1800.0,7900.0,11,11000.0
2004,250000.0,1500.0,4000.0,18,13888.888888888889
2014,200000.0,1390.0,8600.0,8,25000.0
2013,143000.0,2000.0,17850.0,9,15888.888888888889
2013,174000.0,2000.0,9650.0,9,19333.333333333332
2011,121000.0,1800.0,7900.0,11,11000.0
2004,250000.0,1500.0,4000.0,18,13888.888888888889
2014,200000.0,1390.0,8600.0,8,25000.0
2013,143000.0,2000.0,17850.0,9,15888.888888888889
2013,174000.0,2000.0,9650.0,9,19333.333333333332
2009,200000.0,1400.0,4800.0,13,15384.615384615385
2007,137660.0,1500.0,6600.0,15,9177.333333333334
2011,213548.0,1300.0,5650.0,11,19413.454545454544
2006,193096.0,1500.0,3700.0,16,12068.5
1992,400000.0,2000.0,1600.0,30,13333.333333333334
2016,150425.0,1500.0,14990.0,6,25070.833333333332
2018,105000.0,2000.0,15000.0,4,26250.0
2000,191000.0,1800.0,3850.0,22,8681.818181818182
1998,129448.0,1600.0,2399.0,24,5393.666666666667
2015,168000.0,1600.0,18650.0,7,24000.0
1994,180000.0,1600.0,2400.0,28,6428.571428571428
2015,150000.0,1400.0,11000.0,7,21428.571428571428
2007,223000.0,2700.0,15000.0,15,14866.666666666666
2011,141000.0,1400.0,9800.0,11,12818.181818181818
2003,250000.0,1922.0,4600.0,19,13157.894736842105
2006,250000.0,2200.0,9999.0,16,15625.0
2011,176000.0,1300.0,6000.0,11,16000.0
2014,167000.0,1500.0,8600.0,8,20875.0
2008,387000.0,300.0,12000.0,14,27642.85714285714
2011,180000.0,2999.0,22000.0,11,16363.636363636364
2006,170000.0,2000.0,2000.0,16,10625.0
2013,178500.0,2200.0,15700.0,9,19833.333333333332
2012,265000.0,1800.0,8999.0,10,26500.0
2002,331200.0,2200.0,6399.0,20,16560.0
2017,120000.0,1999.0,23900.0,5,24000.0
2013,110000.0,1400.0,8000.0,9,12222.222222222223
2010,190000.0,2000.0,12000.0,12,15833.333333333334
2014,144947.0,1496.0,7499.0,8,18118.375
2012,180000.0,1500.0,7499.0,10,18000.0
2012,157000.0,3000.0,17499.0,10,15700.0
2016,151130.0,1500.0,12499.0,6,25188.333333333332
2006,170000.0,2000.0,2900.0,16,10625.0
2011,155000.0,1600.0,9300.0,11,14090.90909090909
2011,116000.0,1400.0,7300.0,11,10545.454545454546
2007,185000.0,1500.0,3400.0,15,12333.333333333334
2015,124000.0,1600.0,13000.0,7,17714.285714285714
2015,222000.0,2000.0,17500.0,7,31714.285714285714
2016,133494.0,2494.0,21500.0,6,22249.0
2001,250830.0,4000.0,4700.0,21,11944.285714285714
2016,150000.0,1596.0,3200.0,6,25000.0
2011,190000.0,1200.0,5100.0,11,17272.727272727272
2012,124000.0,1600.0,9999.0,10,12400.0
1997,300000.0,1800.0,2700.0,25,12000.0
2012,200000.0,1300.0,6000.0,10,20000.0
2006,240000.0,1600.0,2700.0,16,15000.0
2015,75000.0,2000.0,19000.0,7,10714.285714285714
2009,192000.0,200.0,11000.0,13,14769.23076923077
2011,130000.0,1400.0,4700.0,11,11818.181818181818
2015,180000.0,2000.0,26500.0,7,25714.285714285714
2014,210000.0,1500.0,7199.0,8,26250.0
2017,77000.0,2000.0,33000.0,5,15400.0
2012,180000.0,2200.0,16750.0,10,18000.0
2012,196000.0,1600.0,9950.0,10,19600.0
2015,180000.0,2000.0,26500.0,7,25714.285714285714
